Species	metabolites	activity	Ref. #	KEGG_ID	STRING_name_compact	Score	Stringdb	taxon_id	MolecularWeight	LogP	HBD	HBA
Ruminococcus albus	L-Glutamine (D-Glutamine, Glutamine)	Consumption (import)	384	C00064	Ruminococcus albus 8	95	v12	246199	146.14599999999996	-1.336199999999999	3.0	3.0
Ruminococcus albus	L-Tryptophan (Tryptophan)	Consumption (import)	384	C00078	Ruminococcus albus 8	95	v12	246199	204.229	1.1223	3.0	2.0
Ruminococcus albus	Linoleic acid (Omega-6 fatty acid)	Consumption (import)	179	C01595	Ruminococcus albus 8	95	v12	246199	280.452	5.884500000000005	1.0	1.0
Ruminococcus albus	Pyridoxal (Vitamin B6, Pyridoxine, Pyridoxamine, Vitamin B6)	Consumption (import)	353	C00250	Ruminococcus albus 8	95	v12	246199	167.164	0.40042	2.0	4.0
Ruminococcus albus	alpha-Linolenic acid (Omega-3 fatty acid, eicosapentaenoic acid)	Consumption (import)	179	C06427	Ruminococcus albus 8	95	v12	246199	278.43600000000004	5.660500000000005	1.0	1.0
Ruminococcus albus	Acetate	Production (export)	204	C00033	Ruminococcus albus 8	95	v12	246199	60.05200000000001	0.0908999999999999	1.0	1.0
Ruminococcus albus	Cellulose (Beta-D-glucan)	Macromolecule degradation	1, 2, 31, 77, 78, 79, 117, 150, 172, 180, 353, 384	C00760	Ruminococcus albus 8	95	v12	246199	162.141	-1.7559000000000002	3.0	5.0
Ruminococcus bromii	2-methylbutyrate (2-methylbutanoic acid)	Consumption (import)	353	C18319	Ruminococcus bromii	100	v12	657321	102.13299999999998	1.1171	1.0	1.0
Ruminococcus bromii	Bicarbonate (HCO3-, H2CO3, Carbonic acid, Carbonate)	Consumption (import)	353	C00288	Ruminococcus bromii	100	v12	657321	61.016	-1.1123	1.0	2.0
Ruminococcus bromii	Biotin (Vitamin B7)	Consumption (import)	353	C00120	Ruminococcus bromii	100	v12	657321	244.31599999999992	0.7968	3.0	3.0
Ruminococcus bromii	D-Fructose (Fructose)	Consumption (import)	353	C00095	Ruminococcus bromii	100	v12	657321	180.156	-3.2198	5.0	6.0
Ruminococcus bromii	D-Psicose	Consumption (import)	108(G)	C06468	Ruminococcus bromii	100	v12	657321	180.156	-3.2198	5.0	6.0
Ruminococcus bromii	Dextrin (Maltotriose, Maltodextrin, Maltohexaose, Maltotetraose, Maltooligosaccharide)	Consumption (import)	117	C00721	Ruminococcus bromii	100	v12	657321	324.28200000000004	-3.9316999999999984	6.0	10.0
Ruminococcus bromii	Isobutyrate (2-Methylpropanoic acid)	Consumption (import)	353	C02632	Ruminococcus bromii	100	v12	657321	88.10599999999998	0.727	1.0	1.0
Ruminococcus bromii	Isovalerate (3-Methylbutanoic acid)	Consumption (import)	353	C08262	Ruminococcus bromii	100	v12	657321	102.13299999999998	1.1171	1.0	1.0
Ruminococcus bromii	L-Cysteine (Cysteine, D-Cysteine)	Consumption (import)	353	C00097	Ruminococcus bromii	100	v12	657321	121.161	-0.6718999999999997	3.0	3.0
Ruminococcus bromii	Maltose	Consumption (import)	353	C00208	Ruminococcus bromii	100	v12	657321	342.2970000000001	-5.397199999999993	8.0	11.0
Ruminococcus bromii	Pantothenic acid (Vitamin B5, Pantothenate)	Consumption (import)	353	C00864	Ruminococcus bromii	100	v12	657321	219.237	-1.0432999999999997	4.0	4.0
Ruminococcus bromii	Pyridoxal (Vitamin B6, Pyridoxine, Pyridoxamine, Vitamin B6)	Consumption (import)	353	C00250	Ruminococcus bromii	100	v12	657321	167.164	0.40042	2.0	4.0
Ruminococcus bromii	Riboflavin (Vitamin B2)	Consumption (import)	353	C00255	Ruminococcus bromii	100	v12	657321	376.36900000000014	-1.7235599999999998	5.0	9.0
Ruminococcus bromii	Sulfate (Sulfuric acid, Sulfite)	Consumption (import)	353	C00059	Ruminococcus bromii	100	v12	657321	98.07899999999998	-0.6527999999999998	2.0	2.0
Ruminococcus bromii	Thiosulfate	Consumption (import)	353	C00320	Ruminococcus bromii	100	v12	657321	113.139	-0.6638999999999999	1.0	3.0
Ruminococcus bromii	Acetate	Production (export)	257, 385	C00033	Ruminococcus bromii	100	v12	657321	60.05200000000001	0.0908999999999999	1.0	1.0
Ruminococcus bromii	L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)	Production (export)	385	C00186	Ruminococcus bromii	100	v12	657321	90.078	-0.5482	2.0	2.0
Ruminococcus bromii	Succinate	Production (export)	385	C00042	Ruminococcus bromii	100	v12	657321	118.08799999999998	-0.0642	2.0	2.0
Ruminococcus bromii	Starch (Amylopectin, Amylose, 1,4-alpha-D-Glucan, Pullulan, Resistant starch, Glycogen)	Macromolecule degradation	31, 37, 78, 79, 117, 132, 257	C00317	Ruminococcus bromii	100	v12	657321	828.7199999999999	-11.924600000000012	17.0	26.0
Ruminococcus flavefaciens	Cellobiose	Consumption (import)	172	C00185	Ruminococcus flavefaciens	100	v12	1265	342.2970000000001	-5.397199999999993	8.0	11.0
Ruminococcus flavefaciens	D-Psicose	Consumption (import)	108(G)	C06468	Ruminococcus flavefaciens	100	v12	1265	180.156	-3.2198	5.0	6.0
Ruminococcus flavefaciens	Isobutyrate (2-Methylpropanoic acid)	Consumption (import)	387	C02632	Ruminococcus flavefaciens	100	v12	1265	88.10599999999998	0.727	1.0	1.0
Ruminococcus flavefaciens	Isovalerate (3-Methylbutanoic acid)	Consumption (import)	387	C08262	Ruminococcus flavefaciens	100	v12	1265	102.13299999999998	1.1171	1.0	1.0
Ruminococcus flavefaciens	Acetate	Production (export)	242	C00033	Ruminococcus flavefaciens	100	v12	1265	60.05200000000001	0.0908999999999999	1.0	1.0
Ruminococcus flavefaciens	L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)	Production (export)	386	C00186	Ruminococcus flavefaciens	100	v12	1265	90.078	-0.5482	2.0	2.0
Ruminococcus flavefaciens	Succinate	Production (export)	242	C00042	Ruminococcus flavefaciens	100	v12	1265	118.08799999999998	-0.0642	2.0	2.0
Ruminococcus flavefaciens	Cellulose (Beta-D-glucan)	Macromolecule degradation	77, 150, 177, 242	C00760	Ruminococcus flavefaciens	100	v12	1265	162.141	-1.7559000000000002	3.0	5.0
Ruminococcus flavefaciens	Pectin	Macromolecule degradation	680	C00714	Ruminococcus flavefaciens	100	v12	1265	732.5500000000003	-7.737300000000007	10.0	22.0
Ruminococcus gnavus	D-Psicose	Consumption (import)	108(G)	C06468	Ruminococcus gnavus	100	v12	33038	180.156	-3.2198	5.0	6.0
Ruminococcus gnavus	L-Fucose	Consumption (import)	78	C01019	Ruminococcus gnavus	100	v12	33038	164.15699999999998	-2.1938	4.0	5.0
Ruminococcus gnavus	N-Acetylneuraminic acid (N-acetylneuraminate, Neu5Ac, Sialic acid)	Consumption (import)	30	C00270	Ruminococcus gnavus	100	v12	33038	309.271	-3.871799999999997	7.0	8.0
Ruminococcus gnavus	Acetate	Production (export)	424	C00033	Ruminococcus gnavus	100	v12	33038	60.05200000000001	0.0908999999999999	1.0	1.0
Ruminococcus gnavus	Fructan (Inulin, Levan)	Macromolecule degradation	424	C01355	Ruminococcus gnavus	100	v12	33038	504.4380000000004	-7.568200000000004	11.0	16.0
Ruminococcus gnavus	Mucin (Mucus Glycoprotein)	Macromolecule degradation	30, 141	C02705	Ruminococcus gnavus	100	v12	33038	130.10299999999998	-1.8133	3.0	3.0
Ruminococcus gnavus	Starch (Amylopectin, Amylose, 1,4-alpha-D-Glucan, Pullulan, Resistant starch, Glycogen)	Macromolecule degradation	424	C00317	Ruminococcus gnavus	100	v12	33038	828.7199999999999	-11.924600000000012	17.0	26.0
Ruminococcus lactaris	D-Psicose	Consumption (import)	108(G)	C06468	Ruminococcus lactaris	100	v12	1073376	180.156	-3.2198	5.0	6.0
Ruminococcus torques	D-Fructose (Fructose)	Consumption (import)	84	C00095	Ruminococcus torques	100	v12	33039	180.156	-3.2198	5.0	6.0
Ruminococcus torques	D-Galactose	Consumption (import)	84	C00124	Ruminococcus torques	100	v12	33039	180.156	-3.2214	5.0	6.0
Ruminococcus torques	D-Glucose (Glucose)	Consumption (import)	84	C00031	Ruminococcus torques	100	v12	33039	180.156	-3.2214	5.0	6.0
Ruminococcus torques	Lactose	Consumption (import)	84	C00243	Ruminococcus torques	100	v12	33039	342.2970000000001	-5.397199999999993	8.0	11.0
Ruminococcus torques	Acetate	Production (export)	84	C00033	Ruminococcus torques	100	v12	33039	60.05200000000001	0.0908999999999999	1.0	1.0
Ruminococcus torques	L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)	Production (export)	84	C00186	Ruminococcus torques	100	v12	33039	90.078	-0.5482	2.0	2.0
Ruminococcus torques	Mucin (Mucus Glycoprotein)	Macromolecule degradation	142	C02705	Ruminococcus torques	100	v12	33039	130.10299999999998	-1.8133	3.0	3.0
Saccharolobus solfataricus	Cellobiose	Consumption (import)	273	C00185	Saccharolobus solfataricus	100	v12	273057	342.2970000000001	-5.397199999999993	8.0	11.0
Saccharolobus solfataricus	D-Arabinose (L-Arabinose, Arabinose, L-Arabinopyranose, L-Arabinofuranose)	Consumption (import)	271, 273	C00216	Saccharolobus solfataricus	100	v12	273057	150.13	-2.5823	4.0	5.0
